diagnosis_id,icd9_code,disease_name,short_name,disease_group
83,23,Paratyphoid fever C,Paratyphoid fever c,Infectious & Parasitic Diseases
84,230,Carcinoma in situ of other and unspecified digestive organs,Ca in situ GI NEC/NOS,Neoplasms
85,233,Carcinoma in situ of other and unspecified urinary organs,Ca in situ urinary NEC,Neoplasms
86,235,Neoplasm of uncertain behavior of other and unspecified respiratory organs,Unc behav neo resp NEC,Neoplasms
87,236,Neoplasm of uncertain behavior of urinary organ unspecified,Unc behav neo urinar NOS,Neoplasms
88,237,Neoplasm of uncertain behavior of other and unspecified parts of nervous system,Unc beh neo nerv sys NEC,Neoplasms
89,238,Neoplasm of uncertain behavior site unspecified,Uncert behavior neo NOS,Neoplasms
90,239,Neoplasm of unspecified nature site unspecified,Neoplasm NOS,Neoplasms
91,240,Goiter specified as simple,Simple goiter,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
92,241,Nontoxic uninodular goiter,Nontox uninodular goiter,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
93,242,Thyrotoxicosis without mention of goiter,Thyrotox NOS no crisis,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
94,244,Unspecified acquired hypothyroidism,Hypothyroidism NOS,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
95,245,Thyroiditis unspecified,Thyroiditis NOS,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
96,246,Other specified disorders of thyroid,Disorders of thyroid NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
97,250,Diabetes mellitus,DM,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
98,250.01,Diabetes mellitus without mention of complication type I [juvenile type] not stated as uncontrolled,DMI wo cmp nt st uncntrl,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
99,250.02,Diabetes mellitus without mention of complication type II or unspecified type uncontrolled,DMII wo cmp uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
100,250.03,Diabetes mellitus without mention of complication type I [juvenile type] uncontrolled,DMI wo cmp uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
101,250.1,Diabetes with ketoacidosis type II or unspecified type not stated as uncontrolled,DMII keto nt st uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
102,250.11,Diabetes with ketoacidosis type I [juvenile type] not stated as uncontrolled,DMI keto nt st uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
103,250.12,Diabetes with ketoacidosis type II or unspecified type uncontrolled,DMII ketoacd uncontrold,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
104,250.13,Diabetes with ketoacidosis type I [juvenile type] uncontrolled,DMI ketoacd uncontrold,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
105,250.2,Diabetes with hyperosmolarity type II or unspecified type not stated as uncontrolled,DMII hprsm nt st uncntrl,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
106,250.21,Diabetes with hyperosmolarity type I [juvenile type] not stated as uncontrolled,DMI hprsm nt st uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
107,250.22,Diabetes with hyperosmolarity type II or unspecified type uncontrolled,DMII hprosmlr uncontrold,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
108,250.23,Diabetes with hyperosmolarity type I [juvenile type] uncontrolled,DMI hprosmlr uncontrold,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
109,250.3,Diabetes with other coma type II or unspecified type not stated as uncontrolled,DMII o cm nt st uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
110,250.31,Diabetes with other coma type I [juvenile type] not stated as uncontrolled,DMI o cm nt st uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
111,250.32,Diabetes with other coma type II or unspecified type uncontrolled,DMII oth coma uncontrold,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
112,250.33,Diabetes with other coma type I [juvenile type] uncontrolled,DMI oth coma uncontrold,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
113,250.4,Diabetes with renal manifestations type II or unspecified type not stated as uncontrolled,DMII renl nt st uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
114,250.41,Diabetes with renal manifestations type I [juvenile type] not stated as uncontrolled,DMI renl nt st uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
115,250.42,Diabetes with renal manifestations type II or unspecified type uncontrolled,DMII renal uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
116,250.43,Diabetes with renal manifestations type I [juvenile type] uncontrolled,DMI renal uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
117,250.5,Diabetes with ophthalmic manifestations type II or unspecified type not stated as uncontrolled,DMII ophth nt st uncntrl,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
118,250.51,Diabetes with ophthalmic manifestations type I [juvenile type] not stated as uncontrolled,DMI ophth nt st uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
119,250.52,Diabetes with ophthalmic manifestations type II or unspecified type uncontrolled,DMII ophth uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
120,250.53,Diabetes with ophthalmic manifestations type I [juvenile type] uncontrolled,DMI ophth uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
121,250.6,Diabetes with neurological manifestations type II or unspecified type not stated as uncontrolled,DMII neuro nt st uncntrl,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
122,250.7,Diabetes with peripheral circulatory disorders type II or unspecified type not stated as uncontrolled,DMII circ nt st uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
123,250.8,Diabetes with other specified manifestations type II or unspecified type not stated as uncontrolled,DMII oth nt st uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
124,250.81,Diabetes with other specified manifestations type I [juvenile type] not stated as uncontrolled,DMI oth nt st uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
125,250.82,Diabetes with other specified manifestations type II or unspecified type uncontrolled,DMII oth uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
126,250.83,Diabetes with other specified manifestations type I [juvenile type] uncontrolled,DMI oth uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
127,250.9,Diabetes with unspecified complication type II or unspecified type not stated as uncontrolled,DMII unspf nt st uncntrl,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
128,250.91,Diabetes with unspecified complication type I [juvenile type] not stated as uncontrolled,DMI unspf nt st uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
129,250.92,Diabetes with unspecified complication type II or unspecified type uncontrolled,DMII unspf uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
130,250.93,Diabetes with unspecified complication type I [juvenile type] uncontrolled,DMI unspf uncntrld,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
131,251,Other disorders of pancreatic internal secretion,Pancreatic disorder NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
132,252,Disorders of parathyroid gland,Parathyroid disorder NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
133,253,Disorders of the pituitary gland and its hypothalamic control,Pituitary disorder NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
134,255,Disorders of adrenal glands,Adrenal disorder NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
135,261,Nutritional marasmus,Nutritional marasmus,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
136,262,Other severe protein-calorie malnutrition,Oth severe malnutrition,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
137,263,Other and unspecified protein-calorie malnutrition,Protein-cal malnutr NEC/NOS,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
138,266,Deficiency of B-complex components,B-complex defic NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
139,27,Other zoonotic bacterial diseases,Zoonotic bact dis NEC,Infectious & Parasitic Diseases
140,271,Disorders of carbohydrate transport and metabolism,Dis carbohydr metab NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
141,272,Disorders of lipoid metabolism,Lipoid metabol dis NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
142,273,Disorders of plasma protein metabolism,Dis plas protein met NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
143,274,Gout,Gout NOS,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
144,275,Disorders of mineral metabolism,Dis mineral metabol NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
145,276,Disorders of fluid electrolyte and acid-base balance,Electrolyt/fluid dis NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
146,277,Other and unspecified disorders of metabolism,Metabolism disorder NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
147,278,Obesity and other hyperalimentation,Obesity NOS,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
148,279,Disorders involving the immune mechanism,Immune mechanism dis NEC,Endocrine Nutritional and Metabolic Diseases and Imunuity Disorders
149,280,Iron deficiency anemias,Iron defic anemia NOS,Diseases of the Blood and Blood-Forming Organs
150,281,Other deficiency anemias,Deficiency anemia NOS,Diseases of the Blood and Blood-Forming Organs
151,282,Hereditary hemolytic anemias,Hered hemolytic anem NOS,Diseases of the Blood and Blood-Forming Organs
152,283,Acquired hemolytic anemias,Acq hemolytic anemia NOS,Diseases of the Blood and Blood-Forming Organs
153,284,Aplastic anemia,Aplastic anemia NOS,Diseases of the Blood and Blood-Forming Organs
154,285,Other and unspecified anemias,Anemia NOS,Diseases of the Blood and Blood-Forming Organs
155,286,Coagulation defects,Coagulat defect NEC/NOS,Diseases of the Blood and Blood-Forming Organs
156,287,Purpura and other hemorrhagic conditions,Hemorrhagic cond NEC/NOS,Diseases of the Blood and Blood-Forming Organs
157,288,Diseases of white blood cells,Wbc disease NEC/NOS,Diseases of the Blood and Blood-Forming Organs
158,289,Other diseases of blood and blood-forming organs,Blood disease NOS,Diseases of the Blood and Blood-Forming Organs
159,290,Dementias,Dementia NOS w/o behv dstrb,Mental Disorders
160,291,Alcohol-induced mental disorders,Alcohol mental disor NOS,Mental Disorders
161,292,Drug-induced mental disorders,Drug mental disorder NOS,Mental Disorders
162,293,Transient mental disorders due to conditions classified elsewhere,Transient mental dis NOS,Mental Disorders
163,294,Persistent mental disorders due to conditions classified elsewhere,Mental disor NOS oth dis,Mental Disorders
164,295,Schizophrenic disorders,Schizophrenia NOS-unspec,Mental Disorders
165,296,Episodic mood disorders,Episodic mood disord NOS,Mental Disorders
166,297,Delusional disorders,Delusional disorder,Mental Disorders
167,298,Other nonorganic psychoses,Psychosis NOS,Mental Disorders
168,299,Pervasive developmental disorders,Pervasv dev dis-cur NOS,Mental Disorders
169,3,Other salmonella infections,Salmonella infection NOS,Infectious & Parasitic Diseases
170,300,Anxiety dissociative and somatoform disorders,Anxiety state NOS,Mental Disorders
171,301,Personality disorders,Personality disorder NOS,Mental Disorders
172,303,Alcohol dependence syndrome,Alcoh dep NEC/NOS-unspec,Mental Disorders
173,304,Drug dependence,Drug depend NOS-unspec,Mental Disorders
174,305,Nondependent abuse of drugs,Drug abuse NEC-unspec,Mental Disorders
175,306,Physiological malfunction arising from mental factors,Psychogenic disorder NEC,Mental Disorders
176,307,Special symptoms or syndromes not elsewhere classified,Special symptom NEC/NOS,Mental Disorders
177,308,Acute reaction to stress,Acute stress react NOS,Mental Disorders
178,309,Adjustment reaction,Adjustment reaction NOS,Mental Disorders
179,31,Salmonella septicemia,Salmonella septicemia,Infectious & Parasitic Diseases
180,310,Specific nonpsychotic mental disorders due to organic brain damage,Nonpsychot brain syn NOS,Mental Disorders
181,311,Depressive disorder not elsewhere classified,Depressive disorder NEC,Mental Disorders
182,312,Disturbance of conduct not elsewhere classified,Conduct disturbance NOS,Mental Disorders
183,314,Hyperkinetic syndrome of childhood,Hyperkinetic synd NOS,Mental Disorders
184,318,Other specified mental retardation,Mod intellect disability,Mental Disorders
185,320,Bacterial meningitis,Bacterial meningitis NOS,Nervous System & Sense Organs
186,322,Meningitis of unspecified cause,Meningitis NOS,Nervous System & Sense Organs
187,323,Encephalitis myelitis and encephalomyelitis,Encephalitis NOS,Nervous System & Sense Organs
188,324,Intracranial and intraspinal abscess,Cns abscess NOS,Nervous System & Sense Organs
189,325,Phlebitis and thrombophlebitis of intracranial venous sinuses,Phlebitis intrcran sinus,Nervous System & Sense Organs
190,327,Organic sleep disorders,Sleep organic disord NEC,Nervous System & Sense Organs
191,331,Other cerebral degenerations,Cereb degeneration NEC,Nervous System & Sense Organs
192,332,Parkinson's disease,Paralysis agitans,Nervous System & Sense Organs
193,333,Other extrapyramidal disease and abnormal movement disorders,Extrapyramidal dis NEC,Nervous System & Sense Organs
194,334,Spinocerebellar disease,Spinocerebellar dis NOS,Nervous System & Sense Organs
195,335,Anterior horn cell disease,Ant horn cell dis NOS,Nervous System & Sense Organs
196,336,Other diseases of spinal cord,Spinal cord disease NOS,Nervous System & Sense Organs
197,337,Disorders of the autonomic nervous system,Autonomic nerve dis NEC,Nervous System & Sense Organs
198,338,Pain not elsewhere classified,Pain NOS,Nervous System & Sense Organs
199,34,Streptococcal sore throat and scarlet fever,Scarlet fever,Infectious & Parasitic Diseases
200,340,Multiple sclerosis,Multiple sclerosis,Nervous System & Sense Organs
201,341,Other demyelinating diseases of central nervous system,Cns demyelination NEC,Nervous System & Sense Organs
202,342,Hemiplegia and hemiparesis,Unsp hemiplga unspf side,Nervous System & Sense Organs
203,344,Other paralytic syndromes,Paralysis NOS,Nervous System & Sense Organs
204,345,Epilepsy and recurrent seizures,Epilep NOS w/o intr epil,Nervous System & Sense Organs
205,346,Migraine,Mgrn NOS wo ntrc mgrn,Nervous System & Sense Organs
206,347,Cataplexy and narcolepsy,Narcolepsy w/o cataplexy,Nervous System & Sense Organs
207,348,Other conditions of brain,Brain condition NOS,Nervous System & Sense Organs
208,349,Other and unspecified disorders of the nervous system,Cns disorder NOS,Nervous System & Sense Organs
209,35,Erysipelas,Erysipelas,Infectious & Parasitic Diseases
210,350,Trigeminal nerve disorders,Trigeminal nerve dis NOS,Nervous System & Sense Organs
211,351,Facial nerve disorders,Facial nerve dis NOS,Nervous System & Sense Organs
212,352,Disorders of other cranial nerves,Cranial nerve dis NOS,Nervous System & Sense Organs
213,353,Nerve root and plexus disorders,Nerv root/plexus dis NOS,Nervous System & Sense Organs
214,354,Mononeuritis of upper limb and mononeuritis multiplex,Mononeuritis arm NOS,Nervous System & Sense Organs
215,355,Mononeuritis of lower limb and unspecified site,Mononeuritis leg NOS,Nervous System & Sense Organs
216,356,Hereditary and idiopathic peripheral neuropathy,Idio periph neurpthy NOS,Nervous System & Sense Organs
217,357,Inflammatory and toxic neuropathy,Inflam/tox neuropthy NOS,Nervous System & Sense Organs
218,358,Myoneural disorders,Myoneural disorders NOS,Nervous System & Sense Organs
219,359,Muscular dystrophies and other myopathies,Myopathy NOS,Nervous System & Sense Organs
220,36,Meningococcal infection,Meningococcal infect NOS,Infectious & Parasitic Diseases
221,360,Disorders of the globe,Disorder of globe NOS,Nervous System & Sense Organs
222,361,Retinal detachments and defects,Retinal detachment NOS,Nervous System & Sense Organs
223,362,Other retinal disorders,Retinal disorder NOS,Nervous System & Sense Organs
224,363,Chorioretinal inflammations scars and other disorders of choroid,Choroidal disorder NOS,Nervous System & Sense Organs
225,365,Glaucoma,Glaucoma NOS,Nervous System & Sense Organs
226,366,Cataract,Cataract NOS,Nervous System & Sense Organs
227,368,Visual disturbances,Visual disturbance NOS,Nervous System & Sense Organs
228,369,Blindness and low vision,Visual loss NOS,Nervous System & Sense Organs
229,370,Keratitis,Keratitis NOS,Nervous System & Sense Organs
230,372,Disorders of conjunctiva,Conjunctiva disorder NOS,Nervous System & Sense Organs
231,373,Inflammation of eyelids,Inflammation eyelid NOS,Nervous System & Sense Organs
232,374,Other disorders of eyelids,Disorder of eyelid NOS,Nervous System & Sense Organs
233,375,Disorders of lacrimal system,Lacrimal syst dis NOS,Nervous System & Sense Organs
234,376,Disorders of the orbit,Orbital disorder NOS,Nervous System & Sense Organs
235,377,Disorders of optic nerve and visual pathways,Optic nerve disorder NOS,Nervous System & Sense Organs
236,378,Strabismus and other disorders of binocular eye movements,Eye movemnt disorder NOS,Nervous System & Sense Organs
237,379,Other disorders of eye,Eye disorder NOS,Nervous System & Sense Organs
238,38,Septicemia,Septicemia NOS,Infectious & Parasitic Diseases
239,380,Disorders of external ear,Dis external ear NOS,Nervous System & Sense Organs
240,381,Nonsuppurative otitis media and eustachian tube disorders,Nonsupp otitis media NOS,Nervous System & Sense Organs
241,382,Suppurative and unspecified otitis media,Otitis media NOS,Nervous System & Sense Organs
242,383,Mastoiditis and related conditions,Mastoiditis NOS,Nervous System & Sense Organs
243,384,Other disorders of tympanic membrane,Dis tympanic memb NOS,Nervous System & Sense Organs
244,385,Other disorders of middle ear and mastoid,Dis mid ear/mastoid NOS,Nervous System & Sense Organs
245,386,Vertiginous syndromes and other disorders of vestibular system,Vertiginous synd NOS,Nervous System & Sense Organs
246,388,Other disorders of ear,Disorder of ear NOS,Nervous System & Sense Organs
247,389,Hearing loss,Hearing loss NOS,Nervous System & Sense Organs
248,39,Actinomycotic infections,Actinomycosis NOS,Infectious & Parasitic Diseases
249,391,Rheumatic fever with heart involvement,Ac rheumat hrt dis NOS,Circulatory System
250,394,Diseases of mitral valve,Mitral valve dis NEC/NOS,Circulatory System
251,395,Diseases of aortic valve,Rheum aortic dis NEC/NOS,Circulatory System
252,396,Diseases of mitral and aortic valves,Mitral/aortic v dis NOS,Circulatory System
253,397,Diseases of other endocardial structures,Rheum endocarditis NOS,Circulatory System
254,398,Other rheumatic heart disease,Rheumatic heart dis NOS,Circulatory System
255,401,Essential hypertension,Hypertension NOS,Circulatory System
256,402,Hypertensive heart disease,Hyp ht dis NOS w/o hf,Circulatory System
257,403,Hypertensive renal disease,Hyp kid NOS w cr kid I-IV,Circulatory System
258,404,Hypertensive heart and renal disease,Hyp ht/kd NOS I-IV w/o hf,Circulatory System
259,405,Secondary hypertension,Second hypertension NEC,Circulatory System
260,41,Bacterial infection in conditions classified elsewhere and of unspecified site,Bacterial infection NOS,Infectious & Parasitic Diseases
261,410,Acute myocardial infarction,AMI NOS unspecified,Circulatory System
262,411,Other acute and subacute forms of ischemic heart disease,Ac ischemic hrt dis NEC,Circulatory System
263,412,Old myocardial infarction,Old myocardial infarct,Circulatory System
264,413,Angina pectoris,Angina pectoris NEC/NOS,Circulatory System
265,414,Other forms of chronic ischemic heart disease,Chr ischemic hrt dis NOS,Circulatory System
266,415,Acute pulmonary heart disease,Acute cor pulmonale,Circulatory System
267,416,Chronic pulmonary heart disease,Chr pulmon heart dis NOS,Circulatory System
268,417,Other diseases of pulmonary circulation,Pulmon circulat dis NOS,Circulatory System
269,42,Human immunodeficiency virus [HIV] disease,Human immuno virus dis,Infectious & Parasitic Diseases
270,420,Acute pericarditis,Acute pericarditis NOS,Circulatory System
271,421,Acute and subacute endocarditis,Ac/subac endocardit NOS,Circulatory System
272,422,Acute myocarditis,Acute myocarditis NOS,Circulatory System
273,423,Other diseases of pericardium,Pericardial disease NOS,Circulatory System
274,424,Other diseases of endocardium,Endocarditis NOS,Circulatory System
275,425,Cardiomyopathy,Second cardiomyopath NOS,Circulatory System
276,426,Conduction disorders,Conduction disorder NOS,Circulatory System
277,427,Cardiac dysrhythmias,Cardiac dysrhythmia NOS,Circulatory System
278,428,Heart failure,Heart failure NOS,Circulatory System
279,429,Ill-defined descriptions and complications of heart disease,Ill-defined hrt dis NEC,Circulatory System
280,430,Subarachnoid hemorrhage,Subarachnoid hemorrhage,Circulatory System
281,431,Intracerebral hemorrhage,Intracerebral hemorrhage,Circulatory System
282,432,Other and unspecified intracranial hemorrhage,Intracranial hemorr NOS,Circulatory System
283,433,Occlusion and stenosis of precerebral arteries,Ocl art NOS wo infrct,Circulatory System
284,434,Occlusion of cerebral arteries,Crbl art oc NOS wo infrc,Circulatory System
285,435,Transient cerebral ischemia,Trans cereb ischemia NOS,Circulatory System
286,436,Acute but ill-defined cerebrovascular disease,Cva,Circulatory System
287,437,Other and ill-defined cerebrovascular disease,Cerebrovasc disease NOS,Circulatory System
288,438,Late effects of cerebrovascular disease,Late effect CV dis NOS,Circulatory System
289,440,Atherosclerosis,Atherosclerosis NOS,Circulatory System
290,441,Aortic aneurysm and dissection,Aortic aneurysm NOS,Circulatory System
291,442,Other aneurysm,Aneurysm NOS,Circulatory System
